==========================================================================================
Layer (type:depth-idx)                   Output Shape              Param #
==========================================================================================
ResNet                                   [1, 1000]                 --
│    │    └─ReLU: 3-225                  [1, 128, 32, 32]          --
│    │    └─Conv2d: 3-226                [1, 128, 32, 32]          147,456
│    │    └─BatchNorm2d: 3-227           [1, 128, 32, 32]          256
│    │    └─Identity: 3-228              [1, 128, 32, 32]          --
│    │    └─ReLU: 3-229                  [1, 128, 32, 32]          --
│    │    └─Identity: 3-230              [1, 128, 32, 32]          --
│    │    └─Conv2d: 3-231                [1, 512, 32, 32]          65,536
│    │    └─BatchNorm2d: 3-232           [1, 512, 32, 32]          1,024
│    │    └─ReLU: 3-233                  [1, 512, 32, 32]          --
│    └─Bottleneck: 2-29                  [1, 512, 32, 32]          --
│    │    └─Conv2d: 3-234                [1, 128, 32, 32]          65,536
│    │    └─BatchNorm2d: 3-235           [1, 128, 32, 32]          256
│    │    └─ReLU: 3-236                  [1, 128, 32, 32]          --
│    │    └─Conv2d: 3-237                [1, 128, 32, 32]          147,456
│    │    └─BatchNorm2d: 3-238           [1, 128, 32, 32]          256
│    │    └─Identity: 3-239              [1, 128, 32, 32]          --
│    │    └─ReLU: 3-240                  [1, 128, 32, 32]          --
│    │    └─Identity: 3-241              [1, 128, 32, 32]          --
│    │    └─Conv2d: 3-242                [1, 512, 32, 32]          65,536
│    │    └─BatchNorm2d: 3-243           [1, 512, 32, 32]          1,024
│    │    └─ReLU: 3-244                  [1, 512, 32, 32]          --
│    └─Bottleneck: 2-30                  [1, 512, 32, 32]          --
│    │    └─Conv2d: 3-245                [1, 128, 32, 32]          65,536
│    │    └─BatchNorm2d: 3-246           [1, 128, 32, 32]          256
│    │    └─ReLU: 3-247                  [1, 128, 32, 32]          --
│    │    └─Conv2d: 3-248                [1, 128, 32, 32]          147,456
│    │    └─BatchNorm2d: 3-249           [1, 128, 32, 32]          256
│    │    └─Identity: 3-250              [1, 128, 32, 32]          --
│    │    └─ReLU: 3-251                  [1, 128, 32, 32]          --
│    │    └─Identity: 3-252              [1, 128, 32, 32]          --
│    │    └─Conv2d: 3-253                [1, 512, 32, 32]          65,536
│    │    └─BatchNorm2d: 3-254           [1, 512, 32, 32]          1,024
│    │    └─ReLU: 3-255                  [1, 512, 32, 32]          --
│    └─Bottleneck: 2-31                  [1, 512, 32, 32]          --
│    │    └─Conv2d: 3-256                [1, 128, 32, 32]          65,536
│    │    └─BatchNorm2d: 3-257           [1, 128, 32, 32]          256
│    │    └─ReLU: 3-258                  [1, 128, 32, 32]          --
│    │    └─Conv2d: 3-259                [1, 128, 32, 32]          147,456
│    │    └─BatchNorm2d: 3-260           [1, 128, 32, 32]          256
│    │    └─Identity: 3-261              [1, 128, 32, 32]          --
│    │    └─ReLU: 3-262                  [1, 128, 32, 32]          --
│    │    └─Identity: 3-263              [1, 128, 32, 32]          --
│    │    └─Conv2d: 3-264                [1, 512, 32, 32]          65,536
│    │    └─BatchNorm2d: 3-265           [1, 512, 32, 32]          1,024
│    │    └─ReLU: 3-266                  [1, 512, 32, 32]          --
│    └─Bottleneck: 2-32                  [1, 512, 32, 32]          --
│    │    └─Conv2d: 3-267                [1, 128, 32, 32]          65,536
│    │    └─BatchNorm2d: 3-268           [1, 128, 32, 32]          256
│    │    └─ReLU: 3-269                  [1, 128, 32, 32]          --
│    │    └─Conv2d: 3-270                [1, 128, 32, 32]          147,456
│    │    └─BatchNorm2d: 3-271           [1, 128, 32, 32]          256
│    │    └─Identity: 3-272              [1, 128, 32, 32]          --
│    │    └─ReLU: 3-273                  [1, 128, 32, 32]          --
│    │    └─Identity: 3-274              [1, 128, 32, 32]          --
│    │    └─Conv2d: 3-275                [1, 512, 32, 32]          65,536
│    │    └─BatchNorm2d: 3-276           [1, 512, 32, 32]          1,024
│    │    └─ReLU: 3-277                  [1, 512, 32, 32]          --
│    └─Bottleneck: 2-33                  [1, 512, 32, 32]          --
│    │    └─Conv2d: 3-278                [1, 128, 32, 32]          65,536
│    │    └─BatchNorm2d: 3-279           [1, 128, 32, 32]          256
│    │    └─ReLU: 3-280                  [1, 128, 32, 32]          --
│    │    └─Conv2d: 3-281                [1, 128, 32, 32]          147,456
│    │    └─BatchNorm2d: 3-282           [1, 128, 32, 32]          256
│    │    └─Identity: 3-283              [1, 128, 32, 32]          --
│    │    └─ReLU: 3-284                  [1, 128, 32, 32]          --
│    │    └─Identity: 3-285              [1, 128, 32, 32]          --
│    │    └─Conv2d: 3-286                [1, 512, 32, 32]          65,536
│    │    └─BatchNorm2d: 3-287           [1, 512, 32, 32]          1,024
│    │    └─ReLU: 3-288                  [1, 512, 32, 32]          --
│    └─Bottleneck: 2-34                  [1, 512, 32, 32]          --
│    │    └─Conv2d: 3-289                [1, 128, 32, 32]          65,536
│    │    └─BatchNorm2d: 3-290           [1, 128, 32, 32]          256
│    │    └─ReLU: 3-291                  [1, 128, 32, 32]          --
│    │    └─Conv2d: 3-292                [1, 128, 32, 32]          147,456
│    │    └─BatchNorm2d: 3-293           [1, 128, 32, 32]          256
│    │    └─Identity: 3-294              [1, 128, 32, 32]          --
│    │    └─ReLU: 3-295                  [1, 128, 32, 32]          --
│    │    └─Identity: 3-296              [1, 128, 32, 32]          --
│    │    └─Conv2d: 3-297                [1, 512, 32, 32]          65,536
│    │    └─BatchNorm2d: 3-298           [1, 512, 32, 32]          1,024
